begintime,sk_object,duration,integrity,1593835652,1593835653,1593835654,1593835655,1593835656,1593835657,1593835658,1593835659,1593835660,1593835661,1593835662,1593835663,1593835664,1593835665,1593835666,1593835667,1593835668,1593835669,1593835670,1593835671,1593835675,1593835676,1593835767,1593835870,1593835871,1593835872,1593835873,1593835874,1593835875,1593835876,1593835877,1593835878,1593835879,1593835880,1593835881,1593835882,1593835883,1593835884,1593835885,1593835886,1593835887,1593835888,1593835889,1593835895,1593835896,1593835897
2022-03-01 16:00:00,883507.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 17:00:00,883102.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 17:00:00,883116.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 17:00:00,883219.0,3600.0,100.0,0.0,0.0,0.0,15.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 17:00:00,883447.0,3600.0,100.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 17:00:00,883660.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 17:00:00,883785.0,3600.0,100.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 17:00:00,884126.0,3600.0,100.0,0.0,0.0,0.0,15.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 18:00:00,883102.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 18:00:00,883546.0,3600.0,100.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 19:00:00,883102.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 19:00:00,883507.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 19:00:00,883660.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 19:00:00,883990.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 20:00:00,883182.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 20:00:00,883447.0,3600.0,100.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 20:00:00,883571.0,3600.0,100.0,0.0,0.0,0.0,15.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 21:00:00,883447.0,3600.0,100.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 21:00:00,883507.0,3600.0,100.0,0.0,0.0,0.0,20.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 21:00:00,883571.0,3600.0,100.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 21:00:00,884126.0,3600.0,100.0,0.0,0.0,0.0,15.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 21:00:00,884219.0,3600.0,100.0,,,,3600.0,,,,,3600.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 22:00:00,883102.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 22:00:00,883116.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 22:00:00,883219.0,3600.0,100.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 22:00:00,883773.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 22:00:00,883785.0,3600.0,100.0,0.0,0.0,0.0,15.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 22:00:00,884126.0,3600.0,100.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 22:00:00,884219.0,3600.0,100.0,,,,3600.0,,,,,3600.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 23:00:00,883102.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 23:00:00,883182.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 23:00:00,883359.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01 23:00:00,884219.0,3600.0,100.0,,,,3600.0,,,,,3600.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 00:00:00,883102.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 00:00:00,883670.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 00:00:00,884219.0,3600.0,100.0,,,,3600.0,,,,,3600.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 01:00:00,883102.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 01:00:00,883239.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 01:00:00,883447.0,3600.0,100.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 01:00:00,883571.0,3600.0,100.0,,,,3600.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 01:00:00,884219.0,3600.0,100.0,,,,3600.0,,,,,3600.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 02:00:00,883219.0,3600.0,100.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 02:00:00,883447.0,3600.0,100.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 02:00:00,883507.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 03:00:00,883773.0,3600.0,100.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 03:00:00,883785.0,3600.0,100.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 03:00:00,884126.0,3600.0,100.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 03:00:00,884219.0,3600.0,100.0,,,,3600.0,,,,,3600.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 04:00:00,884126.0,3600.0,100.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 04:00:00,884219.0,3600.0,100.0,,,,3600.0,,,,,3600.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 05:00:00,883102.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 05:00:00,883447.0,3600.0,100.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 05:00:00,884219.0,3600.0,100.0,,,,3600.0,,,,,3600.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 06:00:00,883102.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 06:00:00,883447.0,3600.0,100.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 06:00:00,883670.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 06:00:00,883990.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 06:00:00,884219.0,3600.0,100.0,,,,3600.0,,,,,3600.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 07:00:00,883102.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 07:00:00,883182.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 07:00:00,883447.0,3600.0,100.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 07:00:00,883571.0,3600.0,100.0,,,,3600.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 07:00:00,884219.0,3600.0,100.0,,,,3600.0,,,,,3600.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 08:00:00,883447.0,3600.0,100.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 08:00:00,883571.0,3600.0,100.0,,,,3600.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 08:00:00,884219.0,3600.0,100.0,,,,3600.0,,,,,3600.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 09:00:00,883116.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 09:00:00,883219.0,3600.0,100.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 09:00:00,883447.0,3600.0,100.0,0.0,0.0,0.0,15.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 09:00:00,883507.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 09:00:00,883546.0,3600.0,100.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 09:00:00,884219.0,3600.0,100.0,,,,3600.0,,,,,3600.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 10:00:00,883546.0,3600.0,100.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 10:00:00,883775.0,3600.0,100.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 10:00:00,884126.0,3600.0,100.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 10:00:00,884219.0,3600.0,100.0,,,,3600.0,,,,,3600.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 11:00:00,883102.0,3600.0,100.0,0.0,0.0,0.0,20.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 11:00:00,883333.0,3600.0,100.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 11:00:00,883447.0,3600.0,100.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 11:00:00,883660.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 11:00:00,884219.0,3600.0,100.0,,,,3600.0,,,,,3600.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 12:00:00,883102.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 12:00:00,883239.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 12:00:00,883312.0,3600.0,100.0,0.0,0.0,0.0,20.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 12:00:00,883447.0,3600.0,100.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 12:00:00,883571.0,3600.0,100.0,,,,3600.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 12:00:00,883773.0,3600.0,100.0,0.0,0.0,0.0,20.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 13:00:00,883447.0,3600.0,100.0,0.0,0.0,0.0,15.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 13:00:00,883773.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 14:00:00,883116.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 14:00:00,883546.0,3600.0,100.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 14:00:00,883773.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 14:00:00,883785.0,3600.0,100.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 14:00:00,884126.0,3600.0,100.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 14:00:00,884219.0,3600.0,100.0,,,,3600.0,,,,,3600.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 15:00:00,883102.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 15:00:00,884219.0,3600.0,100.0,,,,3600.0,,,,,3600.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 16:00:00,883102.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 16:00:00,883333.0,3600.0,100.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 16:00:00,883447.0,3600.0,100.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 16:00:00,883670.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 16:00:00,884219.0,3600.0,100.0,,,,3600.0,,,,,3600.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 17:00:00,883102.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 17:00:00,883182.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 17:00:00,883447.0,3600.0,100.0,0.0,0.0,0.0,15.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 17:00:00,883571.0,3600.0,100.0,,,,3600.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 19:00:00,883102.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 19:00:00,883219.0,3600.0,100.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 19:00:00,883447.0,3600.0,100.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 19:00:00,883507.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 20:00:00,883359.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 20:00:00,883773.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02 20:00:00,884045.0,3600.0,100.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,,,,,,,,,,,,
